,Alabama,,Alaska,,Arizona,,Arkansas,,California,,Colorado,,Connecticut,,Delaware,,District of Columbia,,Florida,,Georgia,,Hawaii,,Idaho,,Illinois,,Indiana,,Iowa,,Kansas,,Kentucky,,Louisiana,,Maine,,Maryland,,Massachusetts,,Michigan,,Minnesota,,Mississippi,,Missouri,,Montana,,Nebraska,,Nevada,,New Hampshire,,New Jersey,,New Mexico,,New York,,North Carolina,,North Dakota,,Ohio,,Oklahoma,,Oregon,,Pennsylvania,,Rhode Island,,South Carolina,,South Dakota,,Tennessee,,Texas,,Utah,,Vermont,,Virginia,,Washington,,West Virginia,,Wisconsin,,Wyoming,,Puerto Rico,
Label,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error
$400 to $449,"16,563","±2,374","1,131",±681,"11,178","±1,894","11,818","±2,102","38,273","±3,278","4,976","±1,390","4,779","±1,266","1,008",±517,"1,689",±685,"15,729","±2,262","21,534","±2,778","1,546",±686,"3,218",±768,"24,583","±2,764","16,656","±2,106","9,302","±1,438","8,275","±1,334","14,192","±2,221","11,428","±2,072","2,897",±862,"6,535","±1,622","14,882","±2,016","20,744","±2,099","9,913","±1,259","9,192","±1,943","17,812","±2,078","3,650",±923,"5,664","±1,110","3,039",±755,"2,723",±969,"10,716","±1,887","5,660","±1,465","45,975","±3,737","21,533","±2,787","2,610",±716,"31,947","±2,738","10,632","±1,425","5,847","±1,274","27,209","±2,609","1,882",±838,"11,632","±2,176","4,341","±1,054","18,293","±2,664","41,844","±4,257","3,612",±982,"1,308",±599,"10,118","±1,787","6,834","±1,536","6,056","±1,580","12,225","±1,646","1,031",±526,"19,103","±2,135"
$450 to $499,"20,567","±2,328",626,±294,"11,322","±1,768","14,800","±2,407","41,806","±3,253","6,625","±1,367","4,356","±1,245","1,469",±663,906,±449,"22,575","±2,164","26,544","±3,328",878,±425,"5,756","±1,237","27,144","±2,524","20,276","±2,095","12,931","±1,636","11,363","±1,658","17,388","±2,202","14,210","±2,338","3,186","±1,019","4,180",±982,"13,194","±2,139","25,891","±2,748","14,217","±1,834","10,952","±1,938","22,616","±2,461","4,317","±1,026","7,108","±1,151","4,193","±1,046","2,101",±859,"7,288","±1,466","7,367","±1,691","46,706","±3,612","32,342","±3,634","3,524",±870,"47,809","±3,963","13,936","±1,633","8,387","±1,587","32,184","±2,787","3,189",±944,"11,154","±1,897","4,273","±1,145","22,726","±2,587","41,914","±4,110","4,224","±1,016",973,±499,"12,970","±1,887","10,723","±1,713","7,677","±1,810","15,490","±1,778","1,629",±751,"20,344","±2,344"
$500 to $549,"23,866","±2,610","1,036",±549,"17,630","±2,345","19,441","±2,406","53,217","±3,826","9,690","±1,829","6,959","±1,390","1,896",±841,"1,190",±506,"25,223","±3,105","33,306","±3,918","1,522",±648,"6,386","±1,516","33,629","±2,934","26,361","±2,714","17,772","±1,799","13,627","±1,952","24,452","±2,961","13,894","±1,991","3,547",±991,"6,828","±1,363","15,515","±2,518","34,711","±3,138","15,289","±1,824","13,349","±1,945","28,239","±2,973","4,967","±1,034","9,751","±1,518","5,215","±1,218","1,854",±726,"8,871","±1,906","10,667","±1,826","49,964","±3,941","44,359","±3,793","7,019","±1,295","60,860","±4,294","19,986","±1,946","9,281","±1,910","41,410","±3,585","3,094","±1,050","17,057","±2,205","6,923","±1,364","27,567","±3,267","55,373","±3,880","4,160",±919,"1,015",±468,"14,447","±2,454","13,253","±2,043","7,716","±1,335","22,434","±2,344","2,416",±711,"19,309","±2,390"
$550 to $599,"26,236","±2,673",522,±223,"21,966","±2,560","25,486","±2,881","46,955","±4,285","10,066","±1,976","6,627","±1,466","1,355",±720,"1,169",±510,"34,720","±3,308","37,211","±3,757","1,698",±920,"9,997","±1,803","44,978","±3,692","35,175","±3,525","18,894","±2,117","16,923","±2,251","27,978","±2,718","19,807","±2,763","5,421","±1,201","6,189","±1,320","14,582","±2,364","42,592","±3,335","16,024","±1,900","17,499","±2,735","36,905","±3,296","6,402","±1,469","10,531","±1,270","7,062","±1,507","1,411",±520,"8,349","±1,436","11,648","±2,101","56,654","±3,820","52,833","±4,784","5,661","±1,304","83,779","±4,797","23,938","±2,174","11,492","±1,853","51,687","±3,478","1,520",±755,"23,319","±2,979","5,089","±1,116","34,965","±3,145","73,400","±5,759","5,202","±1,092","1,108",±480,"18,207","±2,521","14,619","±2,188","9,217","±1,724","36,663","±3,230","3,066",±978,"14,968","±1,789"
$600 to $649,"32,618","±3,184","1,651",±823,"32,474","±3,474","24,572","±2,934","65,245","±4,412","13,367","±2,526","5,615","±1,436","1,397",±650,"2,349",±968,"44,248","±4,424","43,696","±4,033","1,312",±506,"9,803","±1,734","51,921","±4,101","39,417","±3,354","20,573","±2,304","20,427","±2,239","31,283","±2,957","27,782","±3,357","6,007","±1,293","9,333","±1,918","15,514","±2,197","52,819","±3,051","18,851","±2,184","18,245","±2,461","41,731","±3,350","8,668","±1,530","13,103","±1,764","14,892","±2,190","2,442",±854,"11,659","±1,919","14,355","±2,124","68,219","±4,410","66,953","±5,121","5,418","±1,220","92,761","±5,032","31,076","±2,432","13,619","±1,954","60,978","±4,383","2,088",±741,"21,596","±2,836","7,880","±1,624","40,365","±3,292","92,900","±5,327","9,367","±1,728","1,823",±746,"23,446","±2,108","18,938","±2,133","10,886","±1,477","41,282","±2,678","3,506",±929,"11,049","±1,763"
$650 to $699,"30,747","±3,129","1,162",±435,"30,567","±3,297","28,876","±2,662","72,259","±4,627","13,498","±2,248","4,499","±1,295","1,165",±494,"1,536",±622,"55,438","±4,382","46,190","±4,275","1,748",±646,"10,270","±1,799","64,284","±4,414","51,664","±3,692","23,645","±2,168","22,221","±2,173","35,372","±3,782","28,170","±3,266","9,015","±1,624","6,768","±1,406","14,120","±2,257","62,380","±3,942","21,686","±2,162","21,882","±3,064","44,777","±3,718","6,812","±1,338","16,684","±1,787","15,732","±2,028","4,421","±1,362","10,770","±1,891","11,135","±2,035","69,597","±4,651","64,546","±4,734","6,964","±1,257","106,037","±5,166","29,446","±2,488","18,176","±2,736","64,315","±3,553","4,126","±1,124","32,024","±3,542","6,534","±1,639","44,060","±3,256","123,130","±7,041","8,894","±1,506","2,431",±727,"26,912","±2,901","22,785","±2,766","11,478","±1,445","44,821","±2,986","4,121","±1,052","11,324","±1,640"
$700 to $749,"30,640","±2,632","1,919",±622,"34,779","±3,128","25,464","±2,875","82,190","±4,374","15,675","±2,298","9,957","±2,012","2,284",±958,"2,386","±1,134","70,466","±5,110","50,322","±4,255","2,652",±870,"9,704","±1,668","60,519","±4,379","58,932","±4,928","23,952","±2,253","22,809","±2,494","31,125","±3,267","31,373","±3,506","10,301","±1,684","7,921","±1,419","18,062","±1,762","64,076","±3,830","21,417","±2,681","21,371","±3,000","53,241","±4,172","8,171","±1,705","15,793","±1,766","16,287","±2,080","3,507","±1,035","12,989","±2,039","14,529","±1,903","85,570","±5,187","69,216","±4,729","7,560","±1,719","104,436","±5,488","34,731","±2,622","17,781","±2,130","71,338","±4,339","4,996","±1,660","25,720","±2,967","7,846","±1,390","47,629","±3,771","146,448","±7,022","12,232","±1,786","3,700","±1,045","24,849","±2,582","23,506","±3,103","13,620","±2,141","50,090","±3,458","3,574",±997,"9,194","±1,714"
$750 to $799,"32,589","±3,664","1,966",±628,"39,606","±3,822","25,147","±3,145","89,476","±4,506","13,268","±1,798","12,415","±2,146","2,959",±864,"1,853",±802,"77,989","±5,354","57,816","±4,167","1,994",±680,"9,075","±1,665","69,740","±4,539","57,705","±4,507","24,995","±2,757","22,064","±2,687","36,996","±3,712","33,380","±3,802","9,497","±1,507","11,970","±1,984","21,436","±2,780","63,452","±4,586","29,016","±2,739","20,232","±2,525","45,585","±3,804","7,385","±1,545","16,979","±2,025","20,053","±2,456","5,458","±1,465","15,411","±2,028","14,994","±2,319","80,487","±5,387","71,307","±5,105","8,823","±2,189","102,934","±5,477","31,307","±2,349","19,806","±2,564","77,689","±5,042","7,047","±1,542","33,935","±3,725","6,232","±1,188","47,893","±3,694","162,769","±8,738","14,374","±2,223","3,487",±963,"31,299","±3,523","27,501","±2,942","13,260","±2,035","54,015","±3,746","4,696","±1,362","7,707","±1,641"
$800 to $899,"58,191","±3,939","6,478","±1,234","89,199","±5,859","45,288","±4,393","225,753","±7,638","39,840","±3,225","26,927","±2,962","8,325","±1,784","4,474","±1,094","195,611","±7,613","119,704","±6,850","6,934","±1,574","23,352","±2,760","153,513","±7,533","108,520","±5,217","41,979","±3,066","46,743","±4,032","64,166","±4,558","73,105","±4,625","17,230","±2,400","27,487","±3,325","43,847","±3,927","137,697","±6,256","58,159","±3,867","43,144","±4,335","94,619","±5,159","14,563","±2,159","31,216","±2,893","43,251","±3,435","12,344","±2,137","44,463","±3,384","26,140","±3,156","187,272","±8,163","147,501","±6,561","15,650","±2,437","186,007","±7,922","59,491","±3,731","45,942","±3,153","161,059","±7,201","12,852","±2,134","57,858","±4,104","12,149","±1,699","92,476","±5,337","363,135","±11,907","29,206","±2,779","7,048","±1,310","67,722","±4,904","60,528","±4,285","19,733","±2,748","100,603","±5,268","7,012","±1,651","12,541","±2,083"
$900 to $999,"57,077","±4,816","9,282","±1,863","92,777","±5,626","31,914","±3,421","289,258","±9,250","51,027","±4,293","36,100","±3,197","11,465","±2,107","7,490","±1,562","233,947","±10,607","124,921","±7,151","7,917","±1,448","17,939","±1,990","157,782","±7,514","84,673","±5,100","29,647","±2,647","36,517","±3,287","50,350","±4,198","61,921","±4,125","15,227","±2,141","38,075","±4,101","51,999","±4,475","120,846","±5,313","60,187","±3,439","31,699","±2,624","82,978","±4,950","11,536","±1,767","27,129","±2,445","47,594","±3,374","15,212","±1,960","69,920","±4,999","21,392","±2,704","186,589","±6,953","130,841","±7,447","10,563","±2,149","151,682","±6,912","51,086","±3,170","51,161","±3,564","147,728","±6,448","14,728","±2,283","55,910","±4,689","8,996","±1,529","83,131","±5,827","376,038","±11,172","27,518","±2,940","6,653","±1,139","81,917","±5,903","63,649","±4,539","14,873","±1,885","84,439","±4,106","6,500","±1,550","6,611","±1,775"
