month_date_yyyymm,state,state_id,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
201812,new york,ny,429900,-0.0151,0.1682,66589,-0.0934,0.0849,93,0.1071,-0.051,11028,-0.2861,0.1722,832,0.0196,-0.0189,9040,-0.386,0.2768,11747,-0.0623,0.0119,193,-0.004,0.156,1793,-0.0039,-0.0039,1019416,0.0058,0.0308,78336,-0.0889,0.0733,0.1764,0.0059,-0.0127,0
201812,montana,mt,345000,0.0022,0.036,7270,-0.0688,0.0114,130,0.1354,0,964,-0.1993,-0.0586,56,-0.0667,0.75,716,-0.4131,0.5431,1238,-0.2079,-0.0381,163,-1.00E-04,0.0266,2173,-0.0034,-0.0216,592547,0.014,-0.0302,8508,-0.092,0.0039,0.1703,-0.0299,-0.0088,0
201812,arizona,az,325000,-0.0055,0.0484,26837,-0.0234,-0.0081,63,0.1351,-0.0455,8856,-0.2179,0.066,1116,0.1071,0.3881,9732,-0.2774,0.2665,10437,-0.0964,0.6758,166,0.0027,0.0664,2051,-0.0061,-0.0034,514587,0.0091,0.0342,37274,-0.045,0.1199,0.3889,-0.0314,0.1587,0
201812,oklahoma,ok,189900,-0.0015,0.0556,16794,-0.0462,-0.0509,81,0.102,0.0125,3788,-0.1656,-0.0021,180,-0.2857,-0.0217,2872,-0.3036,0.1132,2141,-0.061,12.9026,99,0.0038,0.0402,1922,-0.0077,0.0031,262211,-0.0015,0.0755,19043,-0.0428,0.067,0.1275,-0.002,0.1188,0
201812,maine,me,239900,-0.0206,0.0476,8804,-0.1001,-0.0587,136,0.1525,-0.049,836,-0.4211,-0.1218,24,-0.4,-0.3333,800,-0.4536,0.227,773,-0.3721,-0.1607,142,-0.0081,0.0587,1697,-0.0116,-0.0064,354194,-0.012,0.0324,9577,-0.1305,-0.0678,0.0878,-0.038,-0.0107,0
201812,west virginia,wv,165000,-0.0178,0.0377,8055,-0.0571,-0.071,112,0.0927,-0.0088,1088,-0.2727,-0.0933,56,-0.3,-0.1765,924,-0.3206,-0.017,1277,-0.136,0.347,91,0.0017,0.0143,1800,-0.0047,0.0315,228318,-0.0045,0.0615,9332,-0.0679,-0.0298,0.1585,-0.0145,0.0492,0
201812,mississippi,ms,189900,-5.00E-04,0.0537,10905,-0.0498,-0.0669,112,0.098,0.0667,1644,-0.226,-0.0967,92,-0.1786,-0.2069,1476,-0.309,0.0453,1892,-0.0811,0.3953,94,-0.005,0.0296,2000,-0.001,0.004,250493,-0.0027,0.0436,12701,-0.0633,-0.0262,0.1735,-0.0059,0.0575,0
201812,michigan,mi,194500,-0.0238,0.1275,37771,-0.0935,0.0435,79,0.1704,-0.0814,8536,-0.3167,0.0977,640,-0.0643,0.7204,6864,-0.3838,0.3783,4034,-0.1667,1.1595,117,-0.0074,0.0938,1632,-0.0157,0.0074,288860,-0.011,0.0469,41805,-0.1011,0.0983,0.1068,-0.0094,0.0552,0
201812,wyoming,wy,249900,-4.00E-04,0.02,3591,-0.0607,-0.0634,116,0.1429,-0.0645,524,-0.3177,0.065,28,0.4,0.75,344,-0.3228,-0.0115,475,-0.1071,0.5127,117,0.004,0.0279,2148,-0.0083,0.0268,514829,-0.004,0.1037,4066,-0.0674,-0.0214,0.1323,-0.0069,0.0504,0
201812,kentucky,ky,194900,-0.0139,0.0834,15469,-0.0576,0.0265,85,0.1039,-0.0341,3424,-0.2225,-0.0172,308,0.2419,0.7111,3044,-0.3551,0.4198,4672,-0.1121,-0.1015,102,0.0046,0.0726,1920,-0.0111,0.0021,265348,-0.0102,0.056,20141,-0.0729,-0.0064,0.302,-0.0186,-0.043,0
201812,illinois,il,227500,-0.0499,0.046,49218,-0.1032,0.0422,75,0.1628,-0.0506,10780,-0.3054,0.0434,1396,-0.0332,-0.0542,14788,-0.2846,0.1019,15450,-0.1509,-0.0853,119,-0.0302,0.069,1792,-0.014,-0.0044,343327,-0.0381,0.0078,64668,-0.1153,0.0086,0.3139,-0.0176,-0.0437,0
201812,iowa,ia,196000,-0.0175,0.037,13107,-0.067,0.0433,89,0.141,0.0114,2504,-0.3068,-0.0472,104,-0.381,-0.6579,2076,-0.3414,0.038,3186,-0.1714,0.1778,117,-0.0017,0.0611,1626,-0.0139,-0.0067,237797,-0.004,0.0256,16293,-0.0894,0.0671,0.2431,-0.0306,0.0278,0
201812,new mexico,nm,239900,0,0.0662,8668,-0.0612,-0.1074,101,0.086,-0.0648,1880,-0.1182,0.0981,224,-0.1884,1.0741,2224,-0.1787,0.4748,2181,-0.1181,1.0028,123,1.00E-04,0.0418,1970,5.00E-04,0.0255,367087,0.001,0.061,10849,-0.0732,0.0045,0.2516,-0.0162,0.1395,0
201812,wisconsin,wi,229900,-2.00E-04,0.1501,19235,-0.1021,-0.1086,94,0.1394,-0.1048,3772,-0.2774,0.1253,340,-0.213,0.0759,3360,-0.3796,0.1949,5274,-0.2061,0.3663,124,-0.0043,0.0818,1760,-0.0148,0.0156,307292,-0.0081,0.0918,24509,-0.1267,-0.0366,0.2742,-0.0359,0.0953,0
201812,virginia,va,289950,-0.0317,0.0174,35409,-0.1011,0.0023,88,0.1282,-0.0112,7068,-0.2918,-0.0641,668,-0.1773,-0.4339,5328,-0.4035,-0.103,7524,-0.1311,-0.0404,140,-0.0149,0.0293,2066,-0.0058,0.0238,405325,-0.0237,0.0047,42933,-0.1065,-0.0055,0.2125,-0.0073,-0.0095,0
201812,rhode island,ri,344900,-0.0117,0.0147,3851,-0.0992,0.1997,69,0.2,-0.0921,968,-0.2711,0.1635,40,0.1111,-0.8148,700,-0.3542,-0.3056,1657,-0.1686,-0.1576,209,0.0032,0.0275,1614,-0.0107,-0.0206,546912,-0.0281,-0.0299,5508,-0.1213,0.0639,0.4303,-0.0359,-0.1825,0
201812,texas,tx,284900,-0.0055,0.0179,101936,-0.0496,0.0884,75,0.0638,-0.026,25944,-0.2163,0.0269,5804,0.1617,0.035,28500,-0.2758,0.0963,30619,-0.0775,-0.0475,127,-7.00E-04,0.0447,2230,-0.008,-0.0155,393408,-0.0154,0.0062,132555,-0.0561,0.0537,0.3004,-0.0091,-0.0429,0
201812,missouri,mo,189000,-0.0049,0.0806,24469,-0.0737,-0.0048,87,0.1373,-0.0114,5392,-0.2038,-0.0547,488,-0.1701,0.0167,5032,-0.3129,0.2261,5001,-0.1722,-0.2871,105,-0.0071,0.0804,1753,-0.0174,-0.004,260946,-0.0206,0.0498,29470,-0.0921,-0.0674,0.2044,-0.0243,-0.0809,0
201812,nevada,nv,331900,-0.0093,-0.0209,11467,-0.0252,0.4779,59,0.1919,-0.0484,3336,-0.2671,0.0322,328,-0.1277,-0.7143,3372,-0.356,-0.0366,2269,-0.0422,-0.6266,177,-0.0025,0.0774,1880,-0.0074,-0.0905,589023,-0.0047,-0.0865,13736,-0.0278,-0.0072,0.1979,-0.0035,-0.5853,0
201812,north carolina,nc,285000,0,0.0542,47240,-0.056,-0.0281,108,0.0964,-0.0092,8564,-0.3096,-0.0552,1516,0.0384,0.2467,8676,-0.3706,-0.023,12070,-0.1164,-0.0074,132,0.002,0.0512,2161,-0.0078,0.0089,379017,-0.0042,0.0171,59310,-0.0692,-0.0239,0.2555,-0.0175,0.0053,0
